InvoiceNo,StockCode,Description,Quantity,UnitPrice,CustomerID,Country,TotalPrice,InvoiceDate,length_stockcode,length_invoiceno,invoiceno_letter1
536414,22139,,56,0.0,,United Kingdom,0.0,2010-12-01,5,6,5
536545,21134,,1,0.0,,United Kingdom,0.0,2010-12-01,5,6,5
536546,22145,,1,0.0,,United Kingdom,0.0,2010-12-01,5,6,5
536547,37509,,1,0.0,,United Kingdom,0.0,2010-12-01,5,6,5
536549,85226A,,1,0.0,,United Kingdom,0.0,2010-12-01,6,6,5
536550,85044,,1,0.0,,United Kingdom,0.0,2010-12-01,5,6,5
536552,20950,,1,0.0,,United Kingdom,0.0,2010-12-01,5,6,5
536553,37461,,3,0.0,,United Kingdom,0.0,2010-12-01,5,6,5
536554,84670,,23,0.0,,United Kingdom,0.0,2010-12-01,5,6,5
536589,21777,,-10,0.0,,United Kingdom,-0.0,2010-12-01,5,6,5
536764,84952C,,-38,0.0,,United Kingdom,-0.0,2010-12-02,6,6,5
536765,84952C,,19,0.0,,United Kingdom,0.0,2010-12-02,6,6,5
536995,35951,,57,0.0,,United Kingdom,0.0,2010-12-03,5,6,5
536996,22712,,-20,0.0,,United Kingdom,-0.0,2010-12-03,5,6,5
536997,22028,,-20,0.0,,United Kingdom,-0.0,2010-12-03,5,6,5
536998,85067,,-6,0.0,,United Kingdom,-0.0,2010-12-03,5,6,5
536999,21421,,110,0.0,,United Kingdom,0.0,2010-12-03,5,6,5
537000,21414,,-22,0.0,,United Kingdom,-0.0,2010-12-03,5,6,5
537001,21653,,-6,0.0,,United Kingdom,-0.0,2010-12-03,5,6,5
537002,21651,,70,0.0,,United Kingdom,0.0,2010-12-03,5,6,5
537003,85126,,-2,0.0,,United Kingdom,-0.0,2010-12-03,5,6,5
537004,21814,,-30,0.0,,United Kingdom,-0.0,2010-12-03,5,6,5
537005,21692,,-70,0.0,,United Kingdom,-0.0,2010-12-03,5,6,5
537006,21648,,-130,0.0,,United Kingdom,-0.0,2010-12-03,5,6,5
537007,21172,,-80,0.0,,United Kingdom,-0.0,2010-12-03,5,6,5
537008,21161,,-120,0.0,,United Kingdom,-0.0,2010-12-03,5,6,5
537009,84534B,,-80,0.0,,United Kingdom,-0.0,2010-12-03,6,6,5
537010,22162,,-40,0.0,,United Kingdom,-0.0,2010-12-03,5,6,5
537011,22139,,-5,0.0,,United Kingdom,-0.0,2010-12-03,5,6,5
537012,21535,,-12,0.0,,United Kingdom,-0.0,2010-12-03,5,6,5
537013,35965,,-25,0.0,,United Kingdom,-0.0,2010-12-03,5,6,5
537014,21040,,-20,0.0,,United Kingdom,-0.0,2010-12-03,5,6,5
537015,37464,,-14,0.0,,United Kingdom,-0.0,2010-12-03,5,6,5
537016,21836,,-15,0.0,,United Kingdom,-0.0,2010-12-03,5,6,5
537017,47556B,,-69,0.0,,United Kingdom,-0.0,2010-12-03,6,6,5
537018,84562A,,-3,0.0,,United Kingdom,-0.0,2010-12-03,6,6,5
537019,37474,,-15,0.0,,United Kingdom,-0.0,2010-12-03,5,6,5
537020,21807,,-30,0.0,,United Kingdom,-0.0,2010-12-03,5,6,5
537021,21011,,-20,0.0,,United Kingdom,-0.0,2010-12-03,5,6,5
537027,18098C,,-140,0.0,,United Kingdom,-0.0,2010-12-03,6,6,5
537028,21696,,-320,0.0,,United Kingdom,-0.0,2010-12-03,5,6,5
537029,37476,,-6,0.0,,United Kingdom,-0.0,2010-12-03,5,6,5
537361,21777,,5,0.0,,United Kingdom,0.0,2010-12-06,5,6,5
537363,84569B,,-20,0.0,,United Kingdom,-0.0,2010-12-06,6,6,5
537364,21027,,-70,0.0,,United Kingdom,-0.0,2010-12-06,5,6,5
537401,84898F,,-24,0.0,,United Kingdom,-0.0,2010-12-06,6,6,5
537427,84968B,,-21,0.0,,United Kingdom,-0.0,2010-12-06,6,6,5
537430,85215,,120,0.0,,United Kingdom,0.0,2010-12-06,5,6,5
537436,84270,,7,0.0,,United Kingdom,0.0,2010-12-06,5,6,5
537437,90167,,10,0.0,,United Kingdom,0.0,2010-12-06,5,6,5
537438,22959,,13,0.0,,United Kingdom,0.0,2010-12-06,5,6,5
537439,37474,,1,0.0,,United Kingdom,0.0,2010-12-06,5,6,5
537449,21054,,-30,0.0,,United Kingdom,-0.0,2010-12-07,5,6,5
537450,20684,,-19,0.0,,United Kingdom,-0.0,2010-12-07,5,6,5
537451,84881,,-11,0.0,,United Kingdom,-0.0,2010-12-07,5,6,5
537452,20941,,-24,0.0,,United Kingdom,-0.0,2010-12-07,5,6,5
537453,21248,,-18,0.0,,United Kingdom,-0.0,2010-12-07,5,6,5
537454,21349,,-44,0.0,,United Kingdom,-0.0,2010-12-07,5,6,5
537455,22155,,-70,0.0,,United Kingdom,-0.0,2010-12-07,5,6,5
537466,21488,,-50,0.0,,United Kingdom,-0.0,2010-12-07,5,6,5
537687,84840,,-9,0.0,,United Kingdom,-0.0,2010-12-08,5,6,5
537870,21486,,-77,0.0,,United Kingdom,-0.0,2010-12-08,5,6,5
537872,21595,,1,0.0,,United Kingdom,0.0,2010-12-08,5,6,5
537873,37461,,1,0.0,,United Kingdom,0.0,2010-12-08,5,6,5
537874,85170A,,1,0.0,,United Kingdom,0.0,2010-12-08,6,6,5
537875,20849,,1,0.0,,United Kingdom,0.0,2010-12-08,5,6,5
537876,84977,,2,0.0,,United Kingdom,0.0,2010-12-08,5,6,5
537877,21661,,1,0.0,,United Kingdom,0.0,2010-12-08,5,6,5
537878,72803B,,1,0.0,,United Kingdom,0.0,2010-12-08,6,6,5
537999,22034,,-223,0.0,,United Kingdom,-0.0,2010-12-09,5,6,5
538001,35958,,10,0.0,,United Kingdom,0.0,2010-12-09,5,6,5
538004,22114,,144,0.0,,United Kingdom,0.0,2010-12-09,5,6,5
