InvoiceNo,StockCode,Description,Quantity,UnitPrice,CustomerID,Country,TotalPrice,InvoiceDate,length_stockcode,length_invoiceno,invoiceno_letter1
536370,POST,POSTAGE,3,18.0,12583.0,France,54.0,2010-12-01,4,6,5
C536379,D,Discount,-1,27.5,14527.0,United Kingdom,-27.5,2010-12-01,1,7,C
536403,POST,POSTAGE,1,15.0,12791.0,Netherlands,15.0,2010-12-01,4,6,5
536527,POST,POSTAGE,1,18.0,12662.0,Germany,18.0,2010-12-01,4,6,5
536540,C2,CARRIAGE,1,50.0,14911.0,EIRE,50.0,2010-12-01,2,6,5
536544,DOT,DOTCOM POSTAGE,1,569.77,,United Kingdom,569.77,2010-12-01,3,6,5
536569,M,Manual,1,1.25,16274.0,United Kingdom,1.25,2010-12-01,1,6,5
536569,M,Manual,1,18.95,16274.0,United Kingdom,18.95,2010-12-01,1,6,5
536592,DOT,DOTCOM POSTAGE,1,607.49,,United Kingdom,607.49,2010-12-01,3,6,5
536779,BANK CHARGES,Bank Charges,1,15.0,15823.0,United Kingdom,15.0,2010-12-02,12,6,5
536840,POST,POSTAGE,1,18.0,12738.0,Germany,18.0,2010-12-02,4,6,5
536852,POST,POSTAGE,1,18.0,12686.0,France,18.0,2010-12-03,4,6,5
536858,POST,POSTAGE,2,40.0,13520.0,Switzerland,80.0,2010-12-03,4,6,5
536861,POST,POSTAGE,3,18.0,12427.0,Germany,54.0,2010-12-03,4,6,5
536862,DOT,DOTCOM POSTAGE,1,254.43,,United Kingdom,254.43,2010-12-03,3,6,5
536864,DOT,DOTCOM POSTAGE,1,121.06,,United Kingdom,121.06,2010-12-03,3,6,5
536865,M,Manual,1,2.55,,United Kingdom,2.55,2010-12-03,1,6,5
536865,DOT,DOTCOM POSTAGE,1,498.47,,United Kingdom,498.47,2010-12-03,3,6,5
536876,DOT,DOTCOM POSTAGE,1,887.52,,United Kingdom,887.52,2010-12-03,3,6,5
536967,POST,POSTAGE,1,18.0,12600.0,Germany,18.0,2010-12-03,4,6,5
536974,POST,POSTAGE,2,18.0,12682.0,France,36.0,2010-12-03,4,6,5
536981,M,Manual,2,0.85,14723.0,United Kingdom,1.7,2010-12-03,1,6,5
536983,POST,POSTAGE,1,18.0,12712.0,Germany,18.0,2010-12-03,4,6,5
536990,POST,POSTAGE,1,28.0,12793.0,Portugal,28.0,2010-12-03,4,6,5
537022,POST,POSTAGE,2,28.0,12725.0,Italy,56.0,2010-12-03,4,6,5
537026,POST,POSTAGE,2,18.0,12395.0,Belgium,36.0,2010-12-03,4,6,5
537065,POST,POSTAGE,9,18.0,12567.0,France,162.0,2010-12-05,4,6,5
537077,M,Manual,12,0.42,17062.0,United Kingdom,5.04,2010-12-05,1,6,5
537137,M,Manual,36,0.85,16327.0,United Kingdom,30.599999999999998,2010-12-05,1,6,5
537140,M,Manual,1,0.42,12748.0,United Kingdom,0.42,2010-12-05,1,6,5
537140,M,Manual,1,0.85,12748.0,United Kingdom,0.85,2010-12-05,1,6,5
C537164,D,Discount,-1,29.29,14527.0,United Kingdom,-29.29,2010-12-05,1,7,C
537197,POST,POSTAGE,3,18.0,12647.0,Germany,54.0,2010-12-05,4,6,5
537198,POST,POSTAGE,1,18.0,12647.0,Germany,18.0,2010-12-05,4,6,5
537199,M,Manual,1,0.65,15894.0,United Kingdom,0.65,2010-12-05,1,6,5
537201,POST,POSTAGE,6,18.0,12472.0,Germany,108.0,2010-12-05,4,6,5
537208,M,Manual,4,0.85,15889.0,United Kingdom,3.4,2010-12-05,1,6,5
537212,POST,POSTAGE,4,18.0,12720.0,Germany,72.0,2010-12-05,4,6,5
537225,M,Manual,1,1.0,12748.0,United Kingdom,1.0,2010-12-05,1,6,5
537237,DOT,DOTCOM POSTAGE,1,863.74,,United Kingdom,863.74,2010-12-06,3,6,5
537240,DOT,DOTCOM POSTAGE,1,940.87,,United Kingdom,940.87,2010-12-06,3,6,5
537246,POST,POSTAGE,1,28.0,12808.0,Portugal,28.0,2010-12-06,4,6,5
537250,POST,POSTAGE,1,18.0,12708.0,Germany,18.0,2010-12-06,4,6,5
537368,C2,CARRIAGE,1,50.0,14911.0,EIRE,50.0,2010-12-06,2,6,5
537377,M,Manual,12,0.19,15882.0,United Kingdom,2.2800000000000002,2010-12-06,1,6,5
537378,C2,CARRIAGE,1,50.0,14911.0,EIRE,50.0,2010-12-06,2,6,5
537392,M,Manual,5,1.25,17068.0,United Kingdom,6.25,2010-12-06,1,6,5
537396,M,Manual,1,35.0,17223.0,United Kingdom,35.0,2010-12-06,1,6,5
C537414,POST,POSTAGE,-1,4.41,16861.0,United Kingdom,-4.41,2010-12-06,4,7,C
537434,DOT,DOTCOM POSTAGE,1,950.99,,United Kingdom,950.99,2010-12-06,3,6,5
537435,M,Manual,2,5.95,17920.0,United Kingdom,11.9,2010-12-06,1,6,5
537463,POST,POSTAGE,4,18.0,12681.0,France,72.0,2010-12-07,4,6,5
537468,POST,POSTAGE,3,18.0,12567.0,France,54.0,2010-12-07,4,6,5
537534,M,Manual,1,924.59,,United Kingdom,924.59,2010-12-07,1,6,5
C537572,BANK CHARGES,Bank Charges,-1,95.38,,United Kingdom,-95.38,2010-12-07,12,7,C
C537581,S,SAMPLES,-1,12.95,,United Kingdom,-12.95,2010-12-07,1,7,C
C537581,S,SAMPLES,-1,52.0,,United Kingdom,-52.0,2010-12-07,1,7,C
537594,POST,POSTAGE,5,18.0,12647.0,Germany,90.0,2010-12-07,4,6,5
C537597,D,Discount,-1,281.0,15498.0,United Kingdom,-281.0,2010-12-07,1,7,C
C537600,AMAZONFEE,AMAZON FEE,-1,1.0,,United Kingdom,-1.0,2010-12-07,9,7,C
C537610,M,Manual,-1,631.31,,United Kingdom,-631.31,2010-12-07,1,7,C
C537613,M,Manual,-1,313.78,,United Kingdom,-313.78,2010-12-07,1,7,C
C537630,AMAZONFEE,AMAZON FEE,-1,13541.33,,United Kingdom,-13541.33,2010-12-07,9,7,C
537632,AMAZONFEE,AMAZON FEE,1,13541.33,,United Kingdom,13541.33,2010-12-07,9,6,5
537638,DOT,DOTCOM POSTAGE,1,836.14,,United Kingdom,836.14,2010-12-07,3,6,5
537641,DOT,DOTCOM POSTAGE,1,229.74,,United Kingdom,229.74,2010-12-07,3,6,5
537642,DOT,DOTCOM POSTAGE,1,448.0,,United Kingdom,448.0,2010-12-07,3,6,5
537643,DOT,DOTCOM POSTAGE,1,593.15,,United Kingdom,593.15,2010-12-07,3,6,5
537645,DOT,DOTCOM POSTAGE,1,607.96,,United Kingdom,607.96,2010-12-07,3,6,5
C537644,AMAZONFEE,AMAZON FEE,-1,13474.79,,United Kingdom,-13474.79,2010-12-07,9,7,C
C537647,AMAZONFEE,AMAZON FEE,-1,5519.25,,United Kingdom,-5519.25,2010-12-07,9,7,C
C537651,AMAZONFEE,AMAZON FEE,-1,13541.33,,United Kingdom,-13541.33,2010-12-07,9,7,C
C537652,AMAZONFEE,AMAZON FEE,-1,6706.71,,United Kingdom,-6706.71,2010-12-07,9,7,C
537666,DOT,DOTCOM POSTAGE,1,701.95,,United Kingdom,701.95,2010-12-07,3,6,5
537673,POST,POSTAGE,7,18.0,12709.0,Germany,126.0,2010-12-08,4,6,5
537693,POST,POSTAGE,1,18.0,12441.0,France,18.0,2010-12-08,4,6,5
537800,M,Manual,12,0.19,12748.0,United Kingdom,2.2800000000000002,2010-12-08,1,6,5
537804,M,Manual,12,2.95,12748.0,United Kingdom,35.400000000000006,2010-12-08,1,6,5
537804,M,Manual,12,0.19,12748.0,United Kingdom,2.2800000000000002,2010-12-08,1,6,5
537818,POST,POSTAGE,6,28.0,12766.0,Portugal,168.0,2010-12-08,4,6,5
537823,DOT,DOTCOM POSTAGE,1,729.42,,United Kingdom,729.42,2010-12-08,3,6,5
C537857,D,Discount,-1,267.12,17340.0,United Kingdom,-267.12,2010-12-08,1,7,C
537892,POST,POSTAGE,1,18.0,12481.0,Germany,18.0,2010-12-09,4,6,5
537894,POST,POSTAGE,2,18.0,12621.0,Germany,36.0,2010-12-09,4,6,5
537897,POST,POSTAGE,1,18.0,12683.0,France,18.0,2010-12-09,4,6,5
537915,POST,POSTAGE,1,28.0,12797.0,Portugal,28.0,2010-12-09,4,6,5
537963,C2,CARRIAGE,1,50.0,13369.0,United Kingdom,50.0,2010-12-09,2,6,5
537967,POST,POSTAGE,1,18.0,12494.0,France,18.0,2010-12-09,4,6,5
537995,POST,POSTAGE,2,18.0,12712.0,Germany,36.0,2010-12-09,4,6,5
538002,C2,CARRIAGE,1,50.0,14932.0,Channel Islands,50.0,2010-12-09,2,6,5
538003,POST,POSTAGE,8,18.0,12429.0,Denmark,144.0,2010-12-09,4,6,5
538008,POST,POSTAGE,5,18.0,12683.0,France,90.0,2010-12-09,4,6,5
538071,DOT,DOTCOM POSTAGE,1,885.94,,United Kingdom,885.94,2010-12-09,3,6,5
538093,POST,POSTAGE,5,18.0,12682.0,France,90.0,2010-12-09,4,6,5
C538124,M,Manual,-4,0.5,15329.0,United Kingdom,-2.0,2010-12-09,1,7,C
538147,M,Manual,1,15.0,13090.0,United Kingdom,15.0,2010-12-09,1,6,5
538148,DOT,DOTCOM POSTAGE,1,547.32,,United Kingdom,547.32,2010-12-09,3,6,5
538149,DOT,DOTCOM POSTAGE,1,620.68,,United Kingdom,620.68,2010-12-09,3,6,5
538153,DOT,DOTCOM POSTAGE,1,822.94,,United Kingdom,822.94,2010-12-09,3,6,5
538154,DOT,DOTCOM POSTAGE,1,85.79,,United Kingdom,85.79,2010-12-09,3,6,5
538175,POST,POSTAGE,21,18.0,12471.0,Germany,378.0,2010-12-10,4,6,5
538177,DOT,DOTCOM POSTAGE,1,847.42,,United Kingdom,847.42,2010-12-10,3,6,5
C538189,M,Manual,-1,133.08,,United Kingdom,-133.08,2010-12-10,1,7,C
538196,POST,POSTAGE,8,18.0,12731.0,France,144.0,2010-12-10,4,6,5
538311,POST,POSTAGE,2,28.0,12785.0,Portugal,56.0,2010-12-10,4,6,5
538349,DOT,DOTCOM POSTAGE,1,907.47,,United Kingdom,907.47,2010-12-10,3,6,5
538524,DOT,DOTCOM POSTAGE,1,641.86,,United Kingdom,641.86,2010-12-13,3,6,5
538525,POST,POSTAGE,5,28.0,12540.0,Spain,140.0,2010-12-13,4,6,5
538566,DOT,DOTCOM POSTAGE,1,584.59,,United Kingdom,584.59,2010-12-13,3,6,5
538597,M,Manual,1,1.25,15555.0,United Kingdom,1.25,2010-12-13,1,6,5
C538680,BANK CHARGES,Bank Charges,-1,966.92,,United Kingdom,-966.92,2010-12-13,12,7,C
C538681,M,Manual,-1,316.3,,United Kingdom,-316.3,2010-12-13,1,7,C
C538682,M,Manual,-1,1130.9,,United Kingdom,-1130.9,2010-12-13,1,7,C
538685,POST,POSTAGE,1,15.0,15694.0,United Kingdom,15.0,2010-12-14,4,6,5
538707,M,Manual,2,0.21,17894.0,United Kingdom,0.42,2010-12-14,1,6,5
C538806,M,Manual,-1,4.25,15181.0,United Kingdom,-4.25,2010-12-14,1,7,C
