InvoiceNo,StockCode,Description,Quantity,UnitPrice,CustomerID,Country,TotalPrice,InvoiceDate,length_stockcode,length_invoiceno,invoiceno_letter1
536941,22734,amazon,20,0.0,,United Kingdom,0.0,2010-12-03,5,6,5
536942,22139,amazon,15,0.0,,United Kingdom,0.0,2010-12-03,5,6,5
537032,21275,?,-30,0.0,,United Kingdom,-0.0,2010-12-03,5,6,5
537425,84968F,check,-20,0.0,,United Kingdom,-0.0,2010-12-06,6,6,5
537426,84968E,check,-35,0.0,,United Kingdom,-0.0,2010-12-06,6,6,5
537432,35833G,damages,-43,0.0,,United Kingdom,-0.0,2010-12-06,6,6,5
537534,85064,CREAM SWEETHEART LETTER RACK,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,84832,ZINC WILLIE WINKIE  CANDLE STICK,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,84692,BOX OF 24 COCKTAIL PARASOLS,2,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,48184,DOORMAT ENGLISH ROSE ,3,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,48111,DOORMAT 3 SMILEY CATS,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22697,GREEN REGENCY TEACUP AND SAUCER,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22682,FRENCH BLUE METAL DOOR SIGN 7,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22680,FRENCH BLUE METAL DOOR SIGN 5,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22681,FRENCH BLUE METAL DOOR SIGN 6,2,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22679,FRENCH BLUE METAL DOOR SIGN 4,5,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22686,FRENCH BLUE METAL DOOR SIGN No,2,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22683,FRENCH BLUE METAL DOOR SIGN 8,3,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22676,FRENCH BLUE METAL DOOR SIGN 1,3,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22625,RED KITCHEN SCALES,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22624,IVORY KITCHEN SCALES,3,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22619,SET OF 6 SOLDIER SKITTLES,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22520,CHILDS GARDEN TROWEL BLUE ,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22524,CHILDRENS GARDEN GLOVES BLUE,3,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22502,PICNIC BASKET WICKER SMALL,29,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22501,PICNIC BASKET WICKER LARGE,2,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22476,EMPIRE UNION JACK TV DINNER TRAY,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22473,TV DINNER TRAY VINTAGE PAISLEY,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22474,SPACEBOY TV DINNER TRAY,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22472,TV DINNER TRAY DOLLY GIRL,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22514,CHILDS GARDEN SPADE BLUE,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22516,CHILDS GARDEN RAKE BLUE,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22432,WATERING CAN PINK BUNNY,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22428,ENAMEL FIRE BUCKET CREAM,3,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22427,ENAMEL FLOWER JUG CREAM,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22376,AIRLINE BAG VINTAGE JET SET WHITE,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22375,AIRLINE BAG VINTAGE JET SET BROWN,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22372,AIRLINE BAG VINTAGE WORLD CHAMPION ,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22371,AIRLINE BAG VINTAGE TOKYO 78,5,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22620,4 TRADITIONAL SPINNING TOPS,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22624,IVORY KITCHEN SCALES,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22109,FULL ENGLISH BREAKFAST PLATE,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22367,CHILDRENS APRON SPACEBOY DESIGN,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22366,DOORMAT AIRMAIL ,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22364,GLASS JAR DIGESTIVE BISCUITS,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22362,GLASS JAR PEACOCK BATH SALTS,3,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22360,GLASS JAR ENGLISH CONFECTIONERY,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22361,GLASS JAR DAISY FRESH COTTON WOOL,2,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22359,GLASS JAR KINGS CHOICE,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22353,LUNCH BOX WITH CUTLERY FAIRY CAKES ,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22350,ILLUSTRATED CAT BOWL ,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22327,ROUND SNACK BOXES SET OF 4 SKULLS,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,21116,OWL DOORSTOP,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22202,MILK PAN PINK POLKADOT,2,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,22550,HOLIDAY FUN LUDO,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,21912,VINTAGE SNAKES & LADDERS,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,21891,TRADITIONAL WOODEN SKIPPING ROPE,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,21531,RED RETROSPOT SUGAR JAM BOWL,2,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,20726,LUNCH BAG WOODLAND,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,20652,BLUE POLKADOT LUGGAGE TAG ,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537534,20615,BLUE POLKADOT PASSPORT COVER,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537639,22734,amazon,30,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
537640,21232,STRAWBERRY CERAMIC TRINKET BOX,1,0.0,,United Kingdom,0.0,2010-12-07,5,6,5
